translation,selected_choice
见墙壁上你遗留的墨迹，如同栖息着的点点乌鸦。,壁上遗墨如栖鸦
兴趣浓时常常独来独往去游玩。,兴来每独往
秋天的风光多明净，水色天色难分辨。,秋肌稍觉玉衣寒
盐民们把制成的盐卖入宫中，只能得到少量的钱财。,秤入官中得微直
只见庭院里开满了山杏花。,满庭山杏花
当年心甘情愿地独守空帷。,当年只自守空帷
以为所经本是武陵桃源。,疑是武陵源
文武才华耽误多年。,蹉跎书剑年
四处征战竭尽全力帷幄运良筹。,北征东讨尽良筹
人们只是活得像幻想中的自己罢了。,不知终日梦为鱼
不做颍川灌夫为牢骚酗酒。,不似颍川空使酒
投向濯锦江中流与晚霞相比美。,将向中流匹晚霞
黄师塔前那一江的碧波春水滚滚向东流，温暖的春天使人困倦，只想倚着春风小憩。,黄师塔前江水东，春光懒困倚微风。
遥看水天相接处的楚天，雨中秋色，一片迷蒙。,秋色遥看入楚迷
还指着高山说，就在这座山中。,只在此山中
正是养蚕农忙时节。,蚕事正忙农事急
南冬百年头蔹韵窀祷，还掩映在怪石之中。,怪石堆庭见吏衙
吴潭的美橘熟了，想寄一点回家，可惜无人把它带到洛阳。,为报空潭橘，无媒寄洛桥。
暂且沉醉在这春风过处的花田草甸吧。,烂醉东风野草花
傍晚时分我心情不太好。,向晚意不适
如果每天吃三百颗荔枝。,日啖荔枝三百颗
秋夜我到浔阳江头送一位归客。,浔阳江头夜送客
月光随波涌动，大江滚滚东流。,月涌大江流
于是与云和之瑟配合。,遂偶云和瑟
宴席一直持续到明月隐蔽在高树之后。,明月隐高树
宛如南柯一梦，江鸟哀婉啼叫，听来悲悲切切。,六朝如梦鸟空啼
溧阳公主刚刚十四岁，在这清明回暖的日子，与家人一起在园墙里赏玩。,溧阳公主年十四，清明暖后同墙看。
任凭江流冲击，石头却依然如故。,江流石不转
中午时分我独自游览。,独游亭午时
空坛澄清疏松影落水底。,疏松影落空坛静
壮志瓦解成了未被捆绑的囚徒。,壮心瓦解空缧囚
正适合高声吟诵诗篇，可惜月亮又西沉，只给人们留下满腹惆怅。,朗吟看正好，惆怅又西倾。
明眸妩媚静垂下双袖。,盼盼乍垂袖
扬帆起航，远望东南方向，高山水乡还很遥远。,挂席东南望，青山水国遥。
听说长安又吹起战尘。,闻道长安吹战尘
穿着织锦做的衣衫上绣满连理枝的图纹。,锦衣连理文
闭口不谈毒死的人多如麻。,谁谓死如麻
两岸群峰回峦。,回峦引群峰
小小少年，小小和尚，名号怀素。,少年上人号怀素
一诺千金，名噪公卿。,然诺闻诸公
我听阴山人们说过多回。,侧闻阴山胡儿语
几粒残枣在出篱的树上摇晃。,出篱大枣垂珠残
筹码往金盘上一掷众人高叫如排山倒海。,金盘一掷万人开
远望但见行人少。,旷望少行人
能与诸弟共望的，只有天上星河而已。,相望共星河
轻风徐来溯光山色妍容尽展。,风开湖山貌
荷花已经长满了半个池塘。,荷上半侵塘
铙鼓声中歌诗颂。,歌诗铙鼓间
东方朔侍奉汉武帝，靠幽默滑稽换取宽容。,曼倩诙谐取自容
清晨的寒气消除了睡意。,晓气清余睡
微红叶子层层相积。,初红已重叠
采了荷花要送给谁呢。,采之欲遗谁
诸君有哪位可怜这匹年老的天马，请您赎献给穆天子，它虽不能出力拉车了。,请君赎献穆天子
拂晓，隆隆的鼓声催促着太阳的运行。,晓声隆隆催转日
只要是诗人，大都命运不好。,但是诗人多薄命
胡子，眉毛全都像雪一样白。,头鬓眉须皆似雪
桔和莲皆吴越名产，吴越种桔与莲，无水不生。,有园多种橘，无水不生莲。
朝车从京城大道返回。,朝车回紫陌
驿路通过长安往西连着汉畤。,驿路西连汉畤平
对着寒灯回忆起故乡往事。,寒灯思旧事
英明的王子秉受朝廷的谋划。,英王受庙略
岂不知自己的身世，同样悠悠茫茫！,不知身世自悠悠
观看人群多如山，心惊魄动脸变色。,观者如山色沮丧
离开家乡后客宿在并州这个地方已经有十年。,客舍并州已十霜
百无聊赖，赏玩悬挂在墙上的如意。,向壁悬如意
竹子可织成竹席送给美丽的姑娘纳凉。,织可承香汗
却不料受到汶上老翁的嘲讽。,获笑汶上翁
一定要登上泰山顶峰。,会当凌绝顶
庄子偶然做了个漆园吏不官，不过是借这里寄存形骸。,偶寄一微官
就承蒙你给予我以国士之恩。,始承国士恩
”,亦道春风为我来
乘一只小船渡江与您相从。,扁舟共济与君同
彩色的腰带与纤细的腰肢相得益彰。,纤腰宜宝袜
早晨，画栋飞上了南浦的云。,画栋朝飞南浦云
几阵齐飞的旅伴，全部回到了塞上。,几行归塞尽
不知什么地方响起阵阵捣衣声让人从梦中惊醒，看着眼前的冷寂。,背灯唯暗泣
初霜时便开始割蒲。,初霜刈渚蒲
砧板刀柄都长满了绿毛霉菌。,刀机生绿藓
新婚夫妇，夫君就像是女萝草，妻妾就如菟丝花。,君为女萝草，妾作菟丝花。
何用计较世上功名？,谁论世上名
家里酒窖的门一打开顿时香气扑鼻。,香开酒库门
我重仁义不停地自修啊。,重仁袭义兮
即使桃花潭水深至千尺。,桃花潭水深千尺
梁园之中夕阳已西下，只有点点乱飞的乌鸦。,梁园日暮乱飞鸦
叶县的丹灶已经泥好。,叶县已泥丹灶毕
只有成群的鹿儿快乐地玩耍。,檐峰下鹿群
青霭迷茫进入山中都不见。,青霭入看无
秋天高殿内捣衣声响彻夜阑。,高殿秋砧响夜阑
漠漠春寒时轻时重春雨时降时停。,春寒不定斑斑雨
路上的霜露像雪一样洁白，林中栖息的小鸟正梳理着羽毛。,林栖见羽毛
我喜欢你的容颜。,我悦子容艳
绿烟散尽发出清冷的光辉。,绿烟灭尽清辉发
瓦刺的首领在倒马关痛哭。,单于痛哭倒马关
希望可以化做双飞的黄鹄。,愿为双黄鹄
宫廷舞姬深受皇帝恩宠，赐她一套春衣，价值千金。,昭阳舞人恩正深，春衣一对值千金。
在紫禁城内自由进出。,优游丹禁通
望着白云飞去的地方可以辨知苍梧山。,望云知苍梧
丹崖对峙夹石柱，有的像莲花苞，有的像金芙蓉。,丹崖夹石柱，菡萏金芙蓉。
又像是从碧牙床上翻卷下来的竹席。,簟卷碧牙床
王母安适美容颜。,王母怡妙颜
可要五更司晨唱晓叫人早起。,可要五更惊晓梦
出入都是油壁香车，金犊牵挽。,油壁车轻金犊肥
皇宫翠柳绿千般，映照着九重宫殿。,御柳如丝映九重
我被流放到万里之外，土地荒芜的南方。,万里人南去
残月将落，天刚破晓时，“我”就要出门远行。,残月出门时
行船到此每每迂回绕转。,舟楫屡回转
五岳之首泰山的景象怎么样。,岱宗夫如何
水清澈心境因此而悠闲。,水清心亦闲
幽怨好似楚天浮云。,演漾怨楚云
江边前朝天子车驾经过的道路，如今枫树参天，树色暗淡。,辇路江枫暗
到了溪流的出水处却迷惑了。,行到源头却惘然
莫嫌当年云中太守又复职。,莫嫌旧日云中守
城墙上的画角声仿佛也在哀痛。,城上斜阳画角哀
冷落的白昼，卧看行云，倦极而眠。,闻道河阳近乘胜
妖雾该被清扫。,氛雾行当扫
古往今来哪儿有尽头。,今古何处尽
清晨，我到东门营报到。,朝进东门营
赤手空拳，难酬报国雄心。,力不胜于胆
昔日石人何在，空余荒草野径。,翁仲遗墟草树平
白牛犊儿向着芦苇丛中叫个不停。,白犊时向芦中鸣
有如春闺人眉间生情意。,眉意入春闺
风云突变，安禄山举旗造反，叛军震天动地地杀到长安，无可奈何杀死宠爱的妃子，唐玄宗自己不久也抑郁死去。,冀马燕犀动地来，自埋红粉自成灰。
你会看到千岩清泉洒落。,千岩泉洒落
车马人从渐渐不能望见。,车徒望不见
心中恋恋望去更觉清晰！,依依望不迷
这一年暮春，长安城中车水马龙，热闹非凡。,帝城春欲暮，喧喧车马度。
在激烈动荡的年代里才能识别出是不是忠贞不二的臣。,板荡识诚臣
清静的夜晚躺在上面多么欢娱。,欣承清夜娱
从官署回来，自己要亲手把门关闭。,衙回自闭门
孝宗皇帝曾经为两宫开禁。,孝皇曾为两宫开
那号角吹的是边塞歌曲，慷慨悲凉，行人听到此曲，仿佛听到了戍边将士思乡而不得归的长长哀怨声。,曲引边声怨思长
不知在明镜之中。,不知明镜里
我听说春秋时齐国有个虚伪的贵族，叫田成，他假装仁义，道貌岸然，最后还是当上了齐国的国王。,吾闻田成子，诈仁犹自王。
在骊山温泉宫里，有时游山逛景望松雪而寄傲，有时在筵席上对酒弹琴。,依岩望松雪，对酒鸣丝桐。
这思归之心，并非那春草萋萋所引起。,不关芳草绿萋萋
我写诗比他晚了不少。,视我犹后辈
她像天上的一片落霞。,落花一片天上来
榛莽繁茂遮蔽，谁也不能攀缘。,榛翳不可攀
悬崖上建构的屋宇十分牢靠。,悬崖置屋牢
帝后升天。,玉辇升天人已尽
吹起了我的思乡之情。,吹我乡思飞
各自割据称雄。,割据资豪英
小满时节，夜莺在茂盛的绿柳枝头自由自在地啼鸣，明月照亮了万里长空。,夜莺啼绿柳，皓月醒长空。
鸟鸣声声，山中更觉幽深。,鸟鸣山更幽
借着这须臾的悠闲，忘掉忧烦。,且寄须臾闲
只有高吟诗歌的才力还十分健旺。,漫有高吟力尚狂
斟杯美酒相劝请你唱支歌。,一杯相属君当歌
同看明月都该伤心落泪。,共看明月应垂泪
渡口的杨柳柔条飘拂。,津亭杨柳碧毵毵
杜鹃鸟于四更时分啼彻窗外，唤醒养蚕妇人起身关照蚕宝宝们，担心着这几天桑叶不够影响了蚕宝宝吐丝结茧。,子规啼彻四更时，起视蚕稠怕叶稀。
一定是宫中第一人。,必是宫中第一人
恻怆以致泪水沾满衣襟。,恻怆泪沾臆
床前一幅华贵的龟甲屏风，床上搭着她那美丽的彩衣。,龟甲屏风醉眼缬
空中月明如水洒满前川。,明月满前川
斯文扫地，文明弃于荆榛与蔓草之中。,战国多荆榛
三国秀州见了你的生和病和死去。,三过门间老病死
将军的门生韩干画技早学上手。,弟子韩干早入室
清浅可爱，却不小心摸到了织女的纺织机。,误攀织女机
酒足饭饱后架起猎鹰就去远郊狩猎，镶金的白玉马鞭一挥舞。,金鞭拂雪挥鸣鞘
缅怀古昔正在犹疑彷徨。,怀古正踌蹰
辽国国主若是问起你的家世。,单于若问君家世
我独爱好修饰习以为常。,余独好修以为常
友人又像多功的魏绛一样从军保卫边疆。,魏绛复从戎
剩下的只有黄昏的鸟雀在空自悲啼。,唯有黄昏鸟雀悲
光阴似箭我好像跟不上。,汩余若将不及兮
不到嵩阳转眼过去十年。,不到嵩阳动十年
因为爱玩小车就不肯睡觉。,不肯归眠恋小车
孩子们嬉笑吵闹牵扯我的布衣。,儿女嬉笑牵人衣
马蹄声阵阵马车声响隆隆。,马蹄隐耳声隆隆
山峦与大地浑然一体。,山形无地接
黄莺却啼着故里的声音。,莺为故国声
也曾像汉代的扬子云献赋甘泉宫一样问皇上献赋。,因学扬子云，献赋甘泉宫。
此时此刻，最迷人的还是返照入江，满江一片红光。,好是满江涵返照
姑且用它来麻醉一下自己吧。,且用慰迟暮
舴艋小舟做家一会向西一会向东。,舴艋为家西复东
曲调幽怨缓慢如泣如诉。,怨调慢声如欲语
套在手指上的银甲一直没脱下来。,银甲不曾卸
便一日数次出入华堂绣户。,绣户时双入
不巧正遇我刚刚戒酒。,属予刚制酒
把天下搅得一塌糊涂，无法收拾。,颠倒四海由禄儿
匈奴侵略者的命数已尽，系颈投降吧。,匈奴系颈数应尽
风节信谊一贯重言诺。,风期无宿诺
和暖的春气催促着黄莺歌唱。,淑气催黄鸟
兴致浓厚常常吟诵先人的诗。,感兴平吟才子诗
燕地美女捧酒杯侍奉。,燕娥奉卮酒
吴山与汉地相隔不远。,吴山全接汉
秋来猿啸马又鸣。,猿鸟岁时闻
信中没有写别的。,书中无别意
轻波荡漾的水面映射出四周山色。,漾漾带山光
苏晋虽在佛前斋戒吃素。,苏晋长斋绣佛前
遁世归隐本是我夙愿。,且谐宿所好
唐王恩宠及四海。,广轮抚四海
君即如汉时颍川之荀淑。,君即颍水荀
现在无限的愁绪，就像白云覆盖城市，让人透不过气来。,今朝无限思，云树绕湓城。
拂晓时分，霞光微露，天澄水清。,万顷湖天碧
我独自一人登上高楼，眺望吴越。,独上高楼望吴越
名贵的珊瑚树随随便便就送给别人。,不惜珊瑚持与人
豪杰将士夜渡桑乾远赴国难。,侠客度桑乾
通往铜柱朱崖的道路艰险崎岖。,铜柱朱崖道路难
扔下筷子，解开鹔鹴拿去卖了，换酒回来北窗下痛饮大醉。,投箸解鹔鹴，换酒醉北堂。
蝉声远传是因为蝉居在高树上。,居高声自远
我哀叹自己漂泊万里。,叹我万里游
但车马仍然拴着，迟迟没有起程。,车马系迟回
把君山削去该有多好。,刬却君山好
称自己就是恬静闲适的羲皇时人。,自谓羲皇人
泪水常常流满逐臣的衣襟。,泪满逐臣衣
明日你将乘船回毗陵，到那时。,归舟明日毗陵道
承恩载德你曾多次登上南薰殿。,承恩数上南薰殿
谁知安史乱后，田园荒芜。,岂闻一绢直万钱
不要让敌人一兵一马从战场上逃回。,莫遣沙场匹马还
我仰天长啸，老天你可知道。,长叫天可闻
衙门每日空闲的时候居多。,公门日多暇
夫君该不会在外面与别的女子“共芬芳”、做“鸳鸯”吧？,因谁共芬芳
远游归来，回到故山，散发卧壑吞食霞气。,餐霞卧旧壑，散发谢远游。
只因为你对我的一次回眸。,只缘感君一回顾
我躺在船上听到岳阳城里的钟声。,卧闻岳阳城里钟
高高的白花酒楼更是解人眼馋。,百花高楼更可怜
说这昏镜竟与其他明镜无异。,谓若他镜明
我的形影为何这般枯槁？,问影何枯槁
落叶飘零是深知宋玉的悲哀。,摇落深知宋玉悲
那么请问，如果面对此君，仍然大嚼。,若对此君仍大嚼
却相隔在远远的异乡。,隔在远远乡
朝廷的将领没有当年诸葛亮七擒七纵的谋略。,将无七擒略
碰见人故意装得很神气。,逢人气傲然
婀娜多姿，百般娇媚轻狂。,杨柳微风百媚生
儒生哪比得上游侠儿。,儒生不及游侠人
主人公赞叹了还又赞叹。,主公再三叹
